Data,Acre,Alagoas,Amapá,Amazonas,Bahia,Ceará,Distrito Federal,Espírito Santo,Goiás,Maranhão,Mato Grosso,Mato Grosso do Sul,Minas Gerais,Pará,Paraíba,Paraná,Pernambuco,Piauí,Rio de Janeiro,Rio Grande do Norte,Rio Grande do Sul,Rondônia,Roraima,Santa Catarina,São Paulo,Sergipe,Tocantins
2020-04-19,163,159,416,2044,1230,3252,827,1099,393,1205,174,168,1154,685,236,987,2459,145,4765,531,854,128,222,975,14267,83,33
2020-04-20,176,171,433,2160,1341,3482,872,1168,403,1320,181,171,1189,902,245,1007,2690,158,4899,595,889,160,244,1025,14580,86,34
2020-04-21,195,210,457,2270,1489,3716,881,1212,421,1396,181,173,1230,1026,263,1024,2908,186,5306,608,904,199,247,1063,15385,92,37
2020-04-22,214,243,479,2479,1644,3910,946,1313,438,1604,183,175,1283,1195,301,1063,3298,206,5552,646,923,223,280,1091,15914,117,37
2020-04-23,227,324,548,2888,1789,4598,963,1363,453,1757,221,186,1308,1267,345,1082,3519,217,6172,708,994,250,297,1115,16740,124,37
2020-04-24,234,413,633,3194,1962,4800,989,1381,486,1951,240,213,1419,1446,386,1119,3999,256,6282,754,1061,290,304,1170,17826,144,43
2020-04-25,258,501,685,3635,2081,5421,1013,1595,506,2105,247,217,1481,1579,447,1140,4507,297,6828,781,1096,328,345,1209,20004,153,50
2020-04-26,279,554,798,3833,2209,5833,1066,1703,573,2223,250,217,1548,1867,447,1140,4898,297,6828,825,1096,328,345,1209,20715,153,58
2020-04-27,279,643,842,3928,2354,6726,1146,1796,616,2410,257,238,1586,2128,543,1186,5358,364,7944,832,1228,393,407,1337,21696,197,67
2020-04-28,311,777,918,4337,2540,6918,1213,1874,661,2528,261,240,1649,2262,633,1271,5724,408,8504,857,1286,413,425,1476,24041,280,79
2020-04-29,354,957,1016,4801,2646,7267,1275,2107,705,2804,292,249,1758,2422,699,1348,6194,454,8869,1086,1368,433,452,1995,26158,337,116
2020-04-30,404,1044,1080,5254,2851,7606,1356,2465,781,3190,297,255,1827,2876,814,1407,6876,513,9453,1177,1466,502,519,2085,28698,447,137
2020-05-01,486,1226,1121,5723,3085,7879,1466,2662,808,3506,320,261,1935,3176,926,1447,7334,600,10166,1297,1529,585,602,2394,30374,517,164
2020-05-02,553,1372,1187,6062,3315,8309,1566,2985,825,3805,331,266,2023,3460,1034,1492,8145,665,10546,1366,1619,653,668,2346,31174,601,191
